LUAL,0.77188,0.00068,0.00141
LUAR,0.77237,0.00142,-0.00042
M1,0.09265,-0.00887,-0.00171
M2L,0.09349,0.01252,-0.00019
M2R,0.08150,-0.00186,-0.00154
M3L,0.03799,0.00465,0.00092
M3R,0.03737,0.00534,0.00139
M4,0.02930,-0.00330,-0.00007
M5,0.10477,-0.00340,-0.00020
MCL,0.00975,0.00744,0.00062
MCR,0.02476,0.00282,-0.00076
MI,0.02377,-0.00800,-0.00050
NSML,0.03188,0.00603,0.00227
NSMR,0.02912,0.00751,-0.00090
OLLL,0.03660,-0.00216,0.00132
OLLR,0.03693,-0.00408,-0.00117
OLQDL,0.04243,-0.00661,0.00088
OLQDR,0.04905,-0.00560,-0.00061
OLQVL,0.05093,0.00393,0.00218
OLQVR,0.05316,0.01049,-0.00113
PDA,0.75285,0.00847,-0.00020
PDB,0.74906,0.00994,-0.00031
PDEL,0.56077,-0.00426,0.00300
PDER,0.55362,-0.00451,-0.00318
PHAL,0.76861,0.00353,0.00101
PHAR,0.77220,0.00496,-0.00030
PHBL,0.77035,0.00235,0.00184
PHBR,0.77184,0.00207,-0.00114
PHCL,0.78425,0.00147,0.00181
PHCR,0.78046,0.00319,-0.00004
PLML,0.79812,0.00053,0.00129
PLMR,0.42630,0.00000,0.00013
PLNL,0.76755,0.00551,0.00150
PLNR,0.77064,0.00625,-0.00375
PQR,0.77574,0.00263,0.00164
PVCL,0.77558,-0.00024,0.00186
PVCR,0.77461,0.00103,-0.00124
PVDL,0.55502,-0.00475,0.00300
PVDR,0.53997,-0.00387,-0.00225
PVM,0.55569,-0.00219,0.00300
PVNL,0.79353,-0.00072,0.00122
PVNR,0.80000,-0.00218,-0.00030
PVPL,0.73179,0.01017,0.00062
PVPR,0.73994,0.01035,-0.00040
PVQL,0.76357,0.00251,0.00160
PVQR,0.76669,0.00239,-0.00125
PVR,0.78029,-0.00163,-0.00019
PVT,0.73052,0.01158,-0.00046
PVWL,0.78089,0.00156,0.00206
PVWR,0.78226,0.00036,-0.00375
